"id","Y","X1","X2"
"0",1847.473,42.504,39.657
"1",144.355,11.392,15.26
"2",100.052,8.681,24.403
"3",835.897,28.073,47.028
"4",678.31,26.855,-41.51
"5",383.981,18.304,49.424
"6",309.427,16.913,22.93
"7",214.878,15.968,-41.239
"8",492.814,22.896,-31.548
"9",2394.239,49.001,-7.971
"10",1382.67,37.627,-33.631
"11",244.718,16.734,-35.307
"12",448.229,20.921,8.303
"13",1236.413,35.594,-31.206
"14",1912.627,43.853,-9.658
"15",1219.988,35.155,-15.901
"16",1669.616,40.453,32.931
"17",1480.855,37.851,49.098
"18",1241.035,34.687,38.269
"19",1728.337,41.847,-22.715
"20",319.081,16.632,43.617
"21",-19.532,5.411,-49.343
"22",440.072,22.084,-46.168
"23",428.112,21.105,-16.183
"24",36.968,3.374,26.819
"25",434.204,21.281,-19.347
"26",797.556,28.953,-40.391
"27",515.274,23.358,-31.01
"28",247.191,14.674,32.121
"29",521.892,23.135,-13.752
"30",783.09,27.602,21.737
"31",2135.141,46.436,-19.975
"32",1832.614,43.253,-36.49
"33",162.164,13.49,-19.902
"34",2247.775,47.31,9.512
"35",204.913,14.436,-4.427
"36",1206.721,34.102,45.118
"37",1797.907,41.849,46.731
"38",81.848,6.022,44.698
"39",41.479,8.166,-25.016
"40",935.493,30.44,10.017
"41",554.921,23.76,-7.686
"42",1667.815,40.296,44.848
"43",1844.569,43.105,-13.889
"44",-29.541,1.716,-31.461
"45",27.361,1.393,25.97
"46",1591.833,39.45,35.225
"47",573.095,24.131,-7.475
"48",716.705,27.041,-15.154
"49",463.073,21.435,3.567
"50",-47.214,1.36,-47.692
"51",2119.435,46.305,-25.885
"52",1504.9,38.962,-12.646
"53",1628.878,40.571,-15.594
"54",288.96,16.733,10.569
"55",520.294,22.058,34.835
"56",1259.293,35.03,33.014
"57",481.289,23.01,-47.995
"58",557.767,22.527,49.002
"59",83.163,7.535,26.381
"60",96.829,7.784,36.836
"61",-8.469,5.858,-41.997
"62",53.473,2.455,49.155
"63",411.676,20.82,-21.714
"64",506.539,22.95,-21.328
"65",47.18,7.526,-9.103
"66",463.284,21.628,-4.019
"67",2419.628,49.413,-22.302
"68",724.902,26.153,41.172
"69",1295.395,35.39,44.537
"70",1107.181,32.698,37.695
"71",522.884,22.492,19.255
"72",-8.561,1.383,-11.29
"73",-12.638,1.169,-14.624
"74",967.746,31.746,-40.743
"75",1888.473,43.147,28.253
"76",159.461,12.4,6.334
"77",1087.047,32.518,32.129
"78",174.832,13.565,-9.195
"79",1278.996,35.563,13.904
"80",1481.59,38.644,-11.913
"81",2267.257,47.838,-21.207
"82",39.842,1.254,37.704
"83",2290.741,47.528,31.1
"84",332.888,17.636,21.874
"85",573.441,23.335,28.247
"86",-3.688,6.228,-41.403
"87",284.369,15.812,35.129
"88",341.588,19.764,-48.974
"89",1934.041,43.523,40.927
"90",55.92,7.111,6.33
"91",682.622,25.361,39.273
"92",189.984,15.446,-48.322
"93",32.959,8.229,-35.089
"94",1535.273,39.693,-39.543
"95",910.439,29.339,49.729
"96",915.95,29.799,28.26
"97",2284.946,47.7,7.912
"98",1038.066,31.522,44.736
"99",1397.747,37.649,-19.929
"100",471.501,21.898,-8.388
"101",112.06,12.586,-46.009
"102",827.794,28.196,32.455
"103",500.785,23.35,-45.504
"104",2105.585,46.119,-23.735
"105",2155.922,46.833,-37.429
"106",126.91,13.007,-44.524
"107",1275.997,35.845,-7.343
"108",141.07,10.587,26.325
"109",81.628,6.537,38.792
"110",144.151,11.235,16.415
"111",50.465,4.723,28.773
"112",1312.474,35.92,22.061
"113",115.173,11.627,-20.623
"114",1523.627,39.296,-20.256
"115",612.115,25.656,-46.17
"116",213.232,14.831,-5.178
"117",105.242,10.406,-4.421
"118",376.189,18.172,47.105
"119",255.787,14.59,41.096
"120",614.38,24.578,10.035
"121",102.87,9.062,20.358
"122",28.446,2.542,23.68
"123",2426.311,48.936,32.468
"124",31.205,1.307,29.784
"125",108.836,8.081,43.343
"126",72.711,6.909,23.512
"127",518.512,23.748,-44.908
"128",256.818,15.283,23.594
"129",364.268,17.725,49.33
"130",1625.575,39.81,42.056
"131",1392.679,37.795,-34.497
"132",369.479,18.942,11.781
"133",865.085,28.964,28.054
"134",-23.767,4.782,-48.117
"135",46.913,3.194,37.64
"136",-13.662,3.724,-27.854
"137",1459.229,37.782,32.04
"138",1202.292,34.302,26.101
"139",1079.658,32.776,5.417
"140",33.745,8.5,-38.376
"141",252.513,14.875,32.427
"142",770.37,28.344,-34.532
"143",743.121,27.604,-18.302
"144",1024.013,31.623,23.304
"145",480.575,21.466,20.321
"146",9.585,3.737,-5.104
"147",459.362,21.441,-0.139
"148",2413.473,48.898,22.112
"149",174.358,11.529,40.517
